poi_type,lat,lon,addr:street,addr:housenumber,addr:postcode,addr:country
education_school,48.4716497,-123.3212378,Gordon Head Road,3970,,
education_school,48.4272297,-123.3585085,,,,
education_school,48.4631794,-123.4080224,Burnside Road West,957,,
education_school,48.4524452,-123.3918954,,,,
education_school,48.6531008,-123.4059699,,,,
education_school,48.4222277,-123.4930049,,,,
education_school,48.4272214,-123.3583514,,,,
education_school,48.5056799,-123.4101805,,,,
education_school,48.4596107,-123.3942446,Dumeresq Street,505,,
education_school,48.4334814,-123.3523251,,,,
education_school,48.4695443,-123.3053265,,,,
education_school,48.4287368,-123.5275699,Happy Valley Road,3291,,
education_school,48.4968909,-123.3949119,,,,
education_school,48.4264572,-123.4046282,Wychbury Avenue,1010,V9A 5K6,
education_school,48.4183196,-123.3131446,,,,
education_school,48.4577421,-123.5491419,,,,
education_school,48.4522906,-123.3934416,,,,
education_school,48.5840296,-123.455608,West Saanich Road,7449,,
education_school,48.4366609,-123.3581253,Quadra Street,2549,,
education_school,48.4175892,-123.3148423,,,,
education_school,48.4536751,-123.4205153,Admirals Road,2766,,
education_school,48.440777,-123.3786982,Jutland Road,2970,,
education_school,48.41818,-123.3200001,,,,
education_school,48.4166711,-123.3304007,,,,
education_school,48.6647736,-123.4187926,,,,
education_school,48.4533518,-123.4210779,,,,
education_school,48.4529214,-123.5041838,Jacklin Road,2764,,
education_school,48.4663122,-123.4414352,,,,
education_school,48.45063,-123.3298,Richmond Road,3400,V8P 4P5,
education_school,48.4802884,-123.3223468,Tyndall Avenue,4201,,
education_school,48.4534295,-123.4209249,,,,
education_school,48.453964,-123.4214952,,,,
education_school,48.4323898,-123.3200305,Cadboro Bay Road,2121,,
education_school,48.4483994,-123.4845824,,,,
education_school,48.4269607,-123.3583821,,,,
education_school,48.4464404,-123.3591088,,,,
education_school,48.4692116,-123.3465959,Harrop Road,1440,,
education_school,48.4721428,-123.3175161,,,,
education_school,48.4376082,-123.4851187,,,,
