primary_type,subtype,lat,lon,name,amenity,addr:housenumber,school,addr:city,addr:street,addr:postcode,addr:country,name:zh
education,school,1.3027978,103.8403767,ACC EduHub,school,51,,,,,,
education,school,1.34844,103.9511787,,,,entrance,,,,,
education,school,1.3481086,103.9519021,,,,entrance,,,,,
education,school,1.303544,103.7982942,,school,,,,,,,
education,school,1.3421529,103.6881378,,,,,,,,,
education,school,1.3461092,103.8465071,,,,,,,,,
education,school,1.387266,103.8696897,Hua Language Centre,school,,,,,,,
education,school,1.3872695,103.8696218,Jan & Elly English Language School,school,,,,,,,
education,school,1.2976133,103.7936335,Gate B,,,,,,,,
education,school,1.3021415,103.7731983,,parking,,,,,,,
education,school,1.3023683,103.7732731,,parking,,,,,,,
education,school,1.3386291,103.8379257,,school,,,,,,,
education,school,1.3800986,103.8490994,Nanyang Polytechnic,school,180,,Singapore,Ang Mo Kio Avenue 8,569830,,
education,school,1.3775869,103.8563216,ITE College Central,school,2,,,Ang Mo Kio Drive,567720,,
education,school,1.4781817,103.6500299,,school,,,,,,,
education,school,1.3304504,103.6834422,SAFTI Military Institute,school,,,,,,,
education,school,1.406648,103.8204181,Madrasah At-Tahzibiah Al-Islamiah,school,,,,,,,
education,school,1.3037337,103.7761324,,,,,,,,,
education,school,1.3461973,103.8601054,Gate No. 1,,,,,,,,
education,school,1.2822628,103.8180784,Eager Beaver Schoolhouse @ Bukit Merah Central,school,3500A,,Singapore,Bukit Merah Central,159838,SG,
education,school,1.2817516,103.8474726,Citikids Academy,school,105,,Singapore,Amoy Street,069925,SG,
education,school,1.3528711,103.8354127,French Toast Pte Ltd,school,220A,,Singapore,Upper Thomson Road,574352,,
education,school,1.3729795,103.7690856,,,,,,,,,
education,school,1.3111407,103.8917376,Chin Lien Bible Seminary,school,,,,,,,
education,school,1.3473411,103.6823534,Air Traffic Management Research Institute,school,65,,,Nanyang Drive,637460,,
education,school,1.3176739,103.8460419,SJIJ,school,,,,Essex Road,,,
education,school,1.3092529,103.9278615,,school,,,,,,,
education,school,1.3113151,103.8868615,,,,,,,,,
education,school,1.4723463,103.6725664,Sekolah Kebangsaan Taman Perling,school,,,,,,,
education,school,1.3048653,103.7979765,Big Bubble Dive Centre,school,,,,,,,
education,school,1.3035327,103.8593653,The Dive Company,school,,,,,,,
education,school,1.3155564,103.8815789,Sunny Cove LLP Dive School,school,,,,Ajunied Road,,,
education,school,1.3016693,103.7934627,MindChamps PreSchool @ Biopolis,school,3,,Singapore,Biopolis Drive,138623,,
education,school,1.4782093,103.7763103,Pusat Tuisyen Redang Bestari,school,,,,,,,
education,school,1.3061702,103.9055252,Hess Education Centre,school,,,,East Coast Road,,,
education,school,1.3805495,103.7692512,,,,,,,,,
education,school,1.3616086,103.885969,Shine Music School,music_school,,,,Simon Road,,,
education,school,1.3021185,103.8114617,Little Mandaríns,language_school,,,,Loewen Road,,,
education,school,1.301911,103.8599433,Maranatha,music_school,,,,Kandahar Street,,,
education,school,1.2849937,103.8293522,CMA Mental Arithmetic Centre,language_school,,,,Kim Tian Road,,,
education,school,1.3170267,103.7677923,,,,,,,,,
education,school,1.3500698,103.875052,SparkleTots Pre-school,school,417,,,Serangoon Central,550417,,
education,school,1.3131754,103.7597575,Thit Sar Parami,school,60,,,West Coast Lane,127790,,
education,school,1.3077267,103.8318682,General Assembly,school,8,,Singapore,Claymore Hill,,,
education,school,1.2849333,103.8293543,LCentral English Enrichment,language_school,,,,Kim Tian Road,,,
education,school,1.3373631,103.719728,Pro-Teach Education,school,,,,,,,
education,school,1.4352254,103.9025614,MSTS Training Centre,school,,,,,,,
education,school,1.3376515,103.8694361,,,,,,,,,
education,school,1.3602038,103.8326121,,,,,,,,,
education,school,1.3599781,103.833158,,,,,,,,,
education,school,1.3598897,103.8333729,,,,,,,,,
education,school,1.3061535,103.9049886,Raymond Studio,school,,,,,,,
education,school,1.3063117,103.9052421,People's Up,school,143,,Singapore,East Coast Road,428833,,
education,school,1.3075331,103.9070331,Staccato Music School,school,,,,,,,
education,school,1.2964558,103.7941745,Centre Stage School of the Arts,school,,,,,,,
education,school,1.362731,103.7443171,,,,,,,,,
education,school,1.3023266,103.8768746,Yamaha,music_school,,,,,,,
education,school,1.3373271,103.8484435,PSB Academy STEM Campus,school,,,,,,,
education,school,1.3535902,103.9408267,Cristofori,music_school,,,,,,,
education,school,1.4332012,103.8416396,iMatter Learning Centre,school,iMatter Learning Centre,,Singapore,18 Yishun Avenue 9 #02-48,768897,,
education,school,1.2957549,103.7836142,Faculty of Dentistry,school,,,,,,,
education,school,1.3505389,103.8728256,The Ballet & Music Company,music_school,,,,,,,
education,school,1.3507286,103.8489202,Cristofori Music School,music_school,,,,,,,歌德音乐学校
education,school,1.3361757,103.9204619,,,,,,,,,
education,school,1.3362715,103.9205383,,,,,,,,,
education,school,1.2814207,103.8048862,,,,,,,,,
education,school,1.3010033,103.8357575,MADDspace,school,,,,,,,
education,school,1.3009534,103.8355687,Beat'Abox Group,music_school,,,,,,,
education,school,1.3008362,103.8357407,O School,music_school,,,,,,,
education,school,1.3421391,103.8690631,Singapore Power Training Institute,school,,,,,,,
education,school,1.3801195,103.9422514,,,,,,,,,
education,school,1.2908107,103.8572061,The Music Platform,music_school,,,,,,,
education,school,1.2914127,103.8569843,SOMA School of Music and the Arts,music_school,,,,,,,
education,school,1.2650858,103.8204705,I Can Read,school,,,,,,,
education,school,1.2642476,103.8201144,Cristofori Music School,music_school,,,,,,,
education,school,1.2649537,103.8204957,Heguru Method Learning Centre,school,,,,,,,
education,school,1.2803337,103.8414605,Focus Music,school,41,,Singapore,Keong Saik Road,089146,SG,
education,school,1.2913092,103.8496044,Drumstruck Studios,music_school,,,,,,,
education,school,1.2910768,103.8500286,Cristofori,music_school,,,,,,,
education,school,1.4059677,103.9021496,Beijing Language School,language_school,,,,,,,北京语文学校
education,school,1.406257,103.9017928,Edvox Music School,music_school,,,,,,,
education,school,1.4062209,103.9018483,Heguru Education Centre,school,,,,,,,
education,school,1.3821113,103.7547987,,,,,,,,,
education,school,1.3927372,103.7504815,,,,,,,,,
education,school,1.3928661,103.8937999,Cristofori,music_school,,,,,,,
education,school,1.3927492,103.8941737,Beijing Language School,language_school,,,,,,,北京语文学校
education,school,1.289267,103.8471267,3dsense Media School,school,,,,,,,
education,school,1.2891677,103.8470814,Music Lifestyle,music_school,,,,,,,
education,school,1.2988328,103.7877822,Future Ready Academy,school,,,,,,,
education,school,1.3252259,103.9191042,LTA Rail Academy,school,,,,,,,
