primary_type,subtype,lat,lon,name,amenity,building,access,leisure,fee,parking
work,work,52.1488901,21.0459672,Urząd Dzielnicy Ursynów,townhall,city_hall,,,,
work,work,52.0736648,21.0282042,Urząd Miasta i Gminy Piaseczno,townhall,city_hall,,,,
work,work,52.1246454,21.0730683,Stacja Techniczno-Postojowa Kabaty,,,private,,,
work,work,52.1848659,21.0893319,Elektrociepłownia Siekierki,,,,,,
work,work,52.2231666,21.0001885,Zespół Stacji Filtrów,,,,,,
work,work,52.3026696,20.9247552,Huta ArcelorMittal Warszawa,,,,,,
work,work,52.234315,21.1187848,Zajezdnia Ostrobramska,,,,,,
work,work,52.1577326,21.2008386,Mera Pnefal,,,,,,
work,work,52.1857058,20.9980491,"Zajezdnia tramwajowa R3 ""Mokotów""",,,,,,
work,work,52.2329951,20.9411562,"Zajezdnia autobusowa R-5 ""Redutowa"" (wyłączona z eksploatacji)",,,,,,
work,work,52.2551982,21.0536891,"Zakład Realizacji Przewozów ""Praga""",,,,,,
work,work,52.2661336,21.0421512,"Zakład Eksploatacji Autobusów MZA Sp. z o.o. R-4 ""Stalowa""",,,,,,
work,work,52.2664214,21.1246092,Libet,,,,,,
work,work,52.2694941,21.1161925,,,,,,,
work,work,52.1732631,21.0610551,,,,,,,
work,work,52.2472836,21.0488187,E. Wedel,,,,,,
work,work,52.2822341,21.0105194,FSO Żerań,,,,,,
work,work,52.2918042,20.9944354,PGNiG Termika S.A. Oddział Elektrociepłownia Żerań,,,,,,
work,work,52.2172922,21.0401742,Ambasada Japonii,,,,,,
work,work,52.2477123,21.051354,Związek Kynologiczny w Polsce,,yes,,,,
work,work,52.2599116,21.061665,,,,,,,
work,work,52.1510946,21.0239918,Krajowa Izba Rozliczeniowa,,office,,,,
work,work,52.2086969,21.1721442,ABB-ZWAR,,,,,,
work,work,52.2159437,20.957536,Baza transportowa PKS Polonus,,,,,,
work,work,52.2095574,20.9405762,,recycling,,,,,
work,work,52.2232287,20.9895652,Ośrodek Edukacji Informatycznej i Zastosowań Komputerów w Warszawie,,yes,,,,
work,work,52.2314118,21.0182461,Kuratorium Oświaty,,office,,,,
work,work,52.2175641,20.988502,Towarzystwo Lekarskie Warszawskie,,yes,,,,
work,work,52.0731926,21.0404614,"Oczyszczalnia ścieków ""Piaseczno""",,,,,,
work,work,52.2169277,20.9920613,Ministerstwo Środowiska,,government,,,,
work,work,52.2339999,21.0107222,PKO BP,,office,,,,
work,work,52.2326325,21.0204837,Biuro Stołecznego Konserwatora Zabytków,,government,,,,
